Date, Time, Climbers, Capacity
date, time,23,of 115
2020-8-20,13:53,20,of 115
2020-8-20,13:59,21,of 115
2020-8-20,17:23,51,of 115
2020-8-20,17:33,51,of 115
2020-8-20,17:34,51,of 115
2020-8-20,18:02,57,of 115
2020-8-20,18:11,59,of 115
2020-8-20,18:15,60,of 115
2020-8-20,18:16,61,of 115
2020-8-20,18:18,61,of 115
2020-8-20,18:45,66,of 115
2020-8-20,18:55,68,of 115
2020-8-20,19:0,68,of 115
2020-8-20,19:30,60,of 115
2020-8-20,20:0,61,of 115
2020-8-20,20:30,83,of 115
2020-8-20,21:0,86,of 115
2020-8-20,21:30,77,of 115
2020-8-20,22:0,70,of 115
2020-8-20,22:30,60,of 115
2020-8-21,7:0,3,of 115
2020-8-21,7:30,14,of 115
2020-8-21,8:0,15,of 115
2020-8-21,8:30,18,of 115
2020-8-21,9:0,13,of 115
2020-8-21,9:30,18,of 115
2020-8-21,10:0,26,of 115
2020-8-21,10:30,43,of 115
2020-8-21,11:0,45,of 115
2020-8-21,11:30,39,of 115
2020-8-21,12:0,42,of 115
2020-8-21,12:30,48,of 115
2020-8-21,13:0,47,of 115
2020-8-21,13:30,56,of 115
2020-8-21,14:0,63,of 115
2020-8-21,14:30,60,of 115
2020-8-21,15:0,50,of 115
2020-8-21,15:30,56,of 115
2020-8-21,16:0,60,of 115
2020-8-21,16:30,59,of 115
2020-8-21,17:0,55,of 115
2020-8-21,17:30,52,of 115
2020-8-21,18:0,70,of 115
2020-8-21,18:30,80,of 115
2020-8-21,19:0,65,of 115
2020-8-21,19:30,59,of 115
2020-8-21,20:0,48,of 115
2020-8-21,20:30,43,of 115
2020-8-21,21:0,38,of 115
2020-8-21,21:30,17,of 115
2020-8-21,22:0,0,of 115
2020-8-21,22:30,0,of 115
2020-8-22,9:0,13,of 115
2020-8-22,9:30,39,of 115
2020-8-22,10:0,55,of 115
2020-8-22,10:30,78,of 115
2020-8-22,11:0,94,of 115
2020-8-22,11:30,102,of 115
2020-8-22,12:0,84,of 115
2020-8-22,12:30,72,of 115
2020-8-22,13:0,59,of 115
2020-8-22,13:30,56,of 115
2020-8-22,14:0,50,of 115
2020-8-22,14:30,60,of 115
2020-8-22,15:0,73,of 115
2020-8-22,15:30,76,of 115
2020-8-22,16:0,79,of 115
2020-8-22,16:30,72,of 115
2020-8-22,17:0,67,of 115
2020-8-22,17:30,52,of 115
2020-8-22,18:0,2,of 115
2020-8-22,18:30,0,of 115
2020-8-23,9:0,0,of 115
2020-8-23,9:30,22,of 115
2020-8-23,10:0,37,of 115
2020-8-23,10:30,53,of 115
2020-8-23,11:0,57,of 115
2020-8-23,11:30,80,of 115
2020-8-23,12:0,81,of 115
2020-8-23,12:30,76,of 115
2020-8-23,13:0,77,of 115
2020-8-23,14:30,65,of 115
2020-8-23,15:0,69,of 115
